state,avg_price
MN,649.6714285714286
DC,118.60454545454543
MD,97.85968253968254
MO,77.83151162790698
IL,98.99022471910114
SD,76.08
UT,121.67714285714285
CA,92.84717557251909
NC,61.322968749999994
AZ,148.47291666666666
LA,78.6008163265306
NJ,99.44542483660132
NY,135.53910447761191
FL,95.70883392226152
KY,62.83066666666666
MI,79.01636363636365
NV,141.0024365482233
ND,337.1666666666667
WA,150.27058823529413
IN,71.07093457943925
TN,101.50812499999998
TX,108.04311475409837
GA,59.62581560283688
OK,155.79749999999999
SC,80.7578125
VA,61.446296296296296
OH,75.16140909090909
PA,54.70672619047619
MA,69.878025477707
DE,21.05
MS,61.07105263157896
HI,114.75
CT,93.20833333333333
ME,34.958450704225356
NM,95.375
IA,57.983333333333334
AR,114.9925
WI,64.32692307692308
ID,93.0
AL,108.375
CO,125.79545454545455
OR,67.375
RI,88.5
NH,95.91666666666667
NE,113.20500000000001
WV,153.98333333333332
KS,76.0
